timestamp,emotion,emotion_confidence,temporal_emotion,temporal_confidence,stress_level,cognitive_load,deception_risk,gaze,yaw,pitch,roll,blink_rate,anomaly_risk,fusion_confidence,final_state,cognitive_assessment
22:30:18,calm,31.277128632042007,angry,76.64560079574585,MEDIUM,LOW,LOW,CENTER,-2.28667090750218,10.14247507361887,0.048951125223578876,2.99,LOW,0.58,Negative emotional state,Stable emotional condition
22:30:18,calm,33.82679451389084,angry,73.21029901504517,MEDIUM,LOW,LOW,CENTER,-2.1929301649413944,12.286031177628658,0.07853776853355482,2.99,LOW,0.57,Negative emotional state,Stable emotional condition
22:30:18,calm,33.32679451389084,angry,68.50658655166626,MEDIUM,LOW,LOW,CENTER,-2.4281496034184014,11.097537382349135,0.05406365469468105,2.99,LOW,0.54,Negative emotional state,Stable emotional condition
22:30:18,calm,33.32679451389084,angry,62.846577167510986,MEDIUM,LOW,LOW,CENTER,-2.2823944618964713,11.243404661976173,0.09118918389358156,2.99,LOW,0.51,Negative emotional state,Stable emotional condition
22:30:18,calm,32.82679451389084,angry,57.225501537323,MEDIUM,LOW,LOW,CENTER,0.8356951352647802,11.13952460515266,0.11472503878962155,2.99,LOW,0.47,Negative emotional state,Stable emotional condition
22:30:18,calm,43.25292588550888,angry,50.8930504322052,MEDIUM,LOW,LOW,CENTER,0.5943101717810338,11.298049537143635,0.11606314884946674,2.99,LOW,0.48,Negative emotional state,Stable emotional condition
22:30:19,calm,39.585293038570775,disgust,54.755961894989014,MEDIUM,LOW,LOW,CENTER,-0.5384115844376868,11.754121842788203,0.09868553859998473,2.99,LOW,0.49,Stable emotional condition,Negative emotional trajectory
22:30:19,calm,30.265056278392517,disgust,61.16439700126648,MEDIUM,LOW,LOW,CENTER,-1.0297288634086852,10.970693242916361,0.06817541610216883,2.99,LOW,0.49,Stable emotional condition,Negative emotional trajectory
22:30:19,calm,32.28455399493166,disgust,66.83523058891296,MEDIUM,LOW,LOW,CENTER,-1.052504293224297,11.217205110565999,0.1000568804745935,2.99,LOW,0.53,Stable emotional condition,Negative emotional trajectory
22:30:19,calm,31.470778484727578,disgust,71.96279764175415,MEDIUM,LOW,LOW,CENTER,-2.7731505413569315,11.115808795516523,0.06643637968818805,2.99,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:19,calm,32.53679451389084,disgust,75.83588361740112,MEDIUM,LOW,LOW,CENTER,-2.1932860763604562,10.618034373492693,0.07910049125609775,2.99,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:19,calm,33.32679451389084,disgust,78.86353135108948,MEDIUM,LOW,LOW,CENTER,-1.6080030399476133,11.856677692045269,0.09355773003724926,2.99,LOW,0.61,Stable emotional condition,Negative emotional trajectory
22:30:19,calm,33.97238613451699,disgust,81.56495094299316,MEDIUM,LOW,LOW,CENTER,-2.4358335115099954,12.42325478765184,0.10018048849549233,2.99,LOW,0.63,Stable emotional condition,Negative emotional trajectory
22:30:19,calm,33.57679451389084,disgust,83.47035646438599,MEDIUM,LOW,LOW,CENTER,-1.2558631969837826,11.483061656111202,0.09258942439939963,2.99,LOW,0.64,Stable emotional condition,Negative emotional trajectory
22:30:20,calm,30.277128632042004,disgust,84.93114113807678,MEDIUM,LOW,LOW,CENTER,-1.044749291638579,11.059666340079447,0.1021184492865366,2.99,LOW,0.63,Stable emotional condition,Negative emotional trajectory
22:30:20,calm,32.117837308256995,disgust,85.99795699119568,MEDIUM,LOW,LOW,CENTER,-1.3611214098965831,10.77892610237535,0.09485932234883021,2.99,LOW,0.64,Stable emotional condition,Negative emotional trajectory
22:30:20,calm,32.20570006061344,disgust,86.7305040359497,MEDIUM,LOW,LOW,CENTER,-1.1076779066742104,10.810452281500828,0.09604055991547664,2.99,LOW,0.65,Stable emotional condition,Negative emotional trajectory
22:30:20,calm,30.245753974923662,disgust,87.79184222221375,MEDIUM,LOW,LOW,CENTER,-2.8700597632742375,13.276438904000711,0.08106169249914048,2.99,LOW,0.65,Stable emotional condition,Negative emotional trajectory
22:30:20,calm,32.03679451389084,disgust,88.19119334220886,MEDIUM,LOW,LOW,CENTER,-2.1665779180143825,13.081581493404606,0.0831641937310952,2.99,LOW,0.66,Stable emotional condition,Negative emotional trajectory
22:30:20,calm,33.179735690361426,disgust,88.3088231086731,MEDIUM,LOW,LOW,CENTER,-1.7568722013299563,12.174103939796131,0.08609660031780744,2.99,LOW,0.66,Stable emotional condition,Negative emotional trajectory
22:30:20,calm,33.660127847224175,disgust,88.53728771209717,MEDIUM,LOW,LOW,CENTER,-1.6957887799980533,11.891320314281947,0.109025224506719,2.99,LOW,0.67,Stable emotional condition,Negative emotional trajectory
